customer_lifetime_value,income,monthly_premium_auto,months_since_last_claim,months_since_policy_inception,number_of_open_complaints,number_of_policies,total_claim_amount,predicted_income,final_income
2763.519279,56274,69,32,5,0,1,384.811147,31385,56274
6979.535903,0,94,13,42,0,8,1131.464935,32818,32818
12887.43165,48767,108,18,38,0,2,566.472247,11885,48767
7645.861827,0,106,18,65,0,7,529.881344,27804,27804
2813.692575,43836,73,12,44,0,1,138.130879,25860,43836
8256.2978,62902,69,14,94,0,2,159.383042,62902,62902
5380.898636,55350,67,0,13,0,9,321.6,55350,55350
7216.100311,0,101,0,68,0,4,363.02968,24450,24450
24127.50402,14072,71,13,3,0,2,511.2,14072,14072
7388.178085,28812,93,17,7,0,8,425.527834,28095,28812
4738.992022,0,67,23,5,0,3,482.4,25398,25398
8197.197078,0,110,27,87,0,3,528.0,27849,27849
8798.797003,77026,110,9,82,2,3,472.029737,21450,77026
8819.018934,99845,110,23,25,1,8,528.0,99845,99845
5384.431665,83689,70,21,10,2,8,307.139132,44712,83689
7463.139377,24599,64,12,50,1,2,42.920271,24599,24599
2566.867823,25049,67,14,7,0,1,454.245098,25049,25049
3945.241604,28855,101,12,59,0,1,647.442031,28855,28855
5710.333115,51148,72,9,1,0,7,308.981664,48345,51148
8162.617053,66140,101,11,21,0,3,484.8,48893,66140
2872.051273,57749,74,31,21,0,1,355.2,26441,57749
3041.791561,13789,79,8,49,0,1,379.2,13789,13789
24127.50402,14072,71,13,3,0,2,511.2,14072,14072
2450.190996,0,73,4,44,3,1,554.376763,20200,20200
2392.10789,17870,61,30,91,0,1,439.2,10860,17870
5802.065978,97541,72,22,1,0,3,389.185006,25398,97541
3946.372085,0,111,15,47,0,1,799.2,21500,21500
5346.916576,10511,139,33,64,0,1,516.237951,10511,10511
12902.56014,86584,111,33,54,2,2,532.8,16969,86584
3235.360468,75690,80,17,44,1,1,384.0,73137,75690
2454.58354,23158,63,4,6,1,1,322.294043,23158,23158
18975.45611,65999,237,1,14,0,6,615.927769,35322,65999
4715.321344,0,65,19,56,0,3,308.15089,79814,79814
5018.885233,54500,63,28,17,0,6,302.4,30376,54500
4932.916345,37260,62,19,42,0,8,15.437681,22627,37260
5744.229745,68987,71,11,40,0,6,204.475147,36510,68987
13891.73567,42305,117,10,62,0,2,561.6,37695,42305
7380.976717,65706,91,19,86,0,8,436.8,21726,65706
3090.034104,0,90,7,79,0,1,648.0,29958,29958
2521.633095,53243,66,4,15,2,1,157.397849,53243,53243
2652.061785,0,70,7,1,1,1,484.318536,20075,20075
2771.045031,50071,71,3,32,0,1,18.918935,50071,50071
3939.00637,60021,99,12,28,0,1,882.871945,60021,60021
12231.87968,43244,103,15,16,0,2,494.4,43244,43244
2443.665166,92834,61,15,56,0,1,292.8,43860,92834
12819.10289,10105,172,5,4,3,3,0.517753,10105,10105
4468.510542,0,73,7,57,3,5,579.165954,40113,40113
5514.344018,23218,71,7,10,0,4,447.79344,23218,23218
3343.875326,0,92,11,77,0,1,529.624084,30244,30244
2294.478927,0,62,11,56,0,1,313.023175,57023,57023
36707.42639,24804,104,1,28,0,2,593.830288,24804,24804
33473.34946,33190,106,18,95,0,2,508.8,33190,33190
7983.431709,36014,69,4,40,3,2,173.956072,36014,36014
4854.745666,29834,64,19,44,0,3,307.2,21366,29834
4293.997319,16701,113,20,26,0,1,831.625979,11811,16701
7164.395543,46623,91,1,53,0,3,436.8,46623,46623
7619.5158,64749,64,24,59,0,2,302.56519,19508,64749
3958.002823,0,101,29,12,0,1,484.8,75648,75648
4499.493252,16969,124,34,47,2,1,704.768111,16969,16969
4059.567414,11621,108,4,98,0,1,518.4,11621,11621
4458.113369,17622,65,1,36,1,3,312.0,17622,17622
8110.333139,11489,105,4,50,0,6,504.0,11489,11489
3339.764873,0,94,20,53,0,1,863.327324,27782,27782
24261.01777,66525,100,0,86,0,2,104.331355,54586,66525
6613.973653,0,63,21,28,0,2,676.391482,46621,46621
2930.693543,33663,73,29,71,0,1,350.4,17576,33663
8672.194272,22547,112,7,60,0,3,537.6,21829,22547
11638.66926,61486,97,5,65,0,2,465.258644,30658,61486
6846.150323,0,95,13,20,0,5,456.0,12075,12075
11727.77648,29879,102,17,0,0,2,500.254235,88340,29879
22643.83478,93011,113,17,12,0,2,281.451042,28613,93011
2614.474305,65186,65,29,27,0,1,5.434505,65186,65186
2451.752695,26840,64,1,47,2,1,307.2,26840,26840
6781.270203,0,104,30,3,1,5,982.399613,20179,20179
4974.801539,75644,65,5,68,3,9,467.803638,75644,75644
8591.604933,38984,73,27,38,0,2,350.4,20072,38984
5592.161392,71811,71,17,48,0,6,29.03416,39293,71811
8009.472833,20961,67,20,33,0,2,321.6,20961,20961
11318.08982,38923,99,6,83,2,2,115.728852,21450,38923
58166.55351,61321,186,0,30,1,2,427.63121,48367,61321
8025.229358,0,77,20,26,0,2,25.807685,37520,37520
5780.182197,51066,74,23,0,0,8,787.993313,51066,51066
4118.539113,34378,102,12,54,0,1,489.6,28855,34378
2523.07015,43072,63,35,15,0,1,302.4,43072,43072
6554.216396,25222,90,28,69,0,3,475.623251,13088,25222
7703.397294,36765,66,15,32,1,2,320.849072,36765,36765
5926.729379,23091,96,28,90,5,5,460.8,23091,23091
2683.470677,48269,69,3,79,3,1,282.151207,25925,48269
2695.182419,32720,67,13,12,0,1,321.6,30027,32720
6047.02516,20396,76,15,60,1,4,364.8,20396,20396
13171.01282,21513,119,21,81,1,2,679.827592,21513,21513
10656.88195,72540,88,7,3,0,2,631.743039,72540,72540
2527.653796,80744,63,24,84,0,1,11.879037,50450,80744
2672.095756,52822,67,23,88,0,1,350.529033,52822,52822
5313.294035,0,77,8,10,1,9,863.3947,44379,44379
20946.19251,69738,74,2,26,1,2,492.127532,20053,69738
8375.353929,17780,109,12,18,0,9,132.588288,17780,17780
4801.661503,18107,62,29,11,0,8,297.6,18107,18107
5745.94334,57740,74,30,87,3,9,269.905129,48207,57740
6066.115969,32627,76,11,60,0,7,380.036697,25915,32627
8002.308333,0,107,3,65,0,3,513.6,58789,58789
2393.915369,0,70,24,10,0,1,425.266308,60060,60060
4762.8179,65795,62,2,85,1,3,49.011099,25746,65795
4330.38602,60475,107,9,18,0,1,513.6,60475,60475
9402.729769,0,130,28,88,0,4,936.0,37233,37233
6966.694527,41837,88,29,93,0,9,142.062768,30092,41837
7694.064293,32303,65,13,34,0,2,45.152521,23541,32303
8717.561149,0,117,5,89,1,3,561.6,43720,43720
5928.748528,40531,74,17,32,0,9,30.567357,36088,40531
2452.977288,79898,62,5,86,1,1,271.606799,41408,79898
6701.571657,56398,85,4,18,0,7,408.0,36464,56398
7556.24034,35257,98,16,2,1,8,470.4,35257,35257
8492.6988,27804,109,19,54,0,7,784.8,27804,27804
7713.494046,45506,66,16,32,2,2,316.8,34244,45506
24084.5352,65196,67,0,54,0,2,396.082036,37282,65196
7290.069769,0,102,11,70,1,3,489.6,36576,36576
4772.943848,20993,133,35,90,0,1,638.4,20993,20993
6806.491395,37839,86,35,77,0,9,465.633954,30092,37839
2469.781334,92711,62,24,10,0,1,368.400146,60060,92711
3103.923041,74665,78,10,90,2,1,236.902001,64640,74665
2981.875575,0,83,26,89,0,1,582.679087,17752,17752
8902.737595,46833,112,6,3,0,9,64.109663,46833,46833
5499.447223,88768,68,17,77,0,7,326.4,57240,88768
15023.59858,28262,192,9,77,0,3,921.6,28262,28262
2509.107875,33555,63,17,11,0,1,101.89645,33555,33555
31221.7481,42780,113,10,27,1,2,542.4,26900,42780
3133.503432,58850,78,20,26,0,1,143.747794,15514,58850
3837.451863,21880,97,29,37,0,1,424.077159,21880,21880
11790.49617,25251,66,13,43,0,2,316.8,25251,25251
7838.068321,0,69,9,12,0,2,2.704934,18665,18665
4305.808345,24188,109,14,82,0,1,523.2,69379,24188
5973.976904,41611,74,14,8,0,8,113.801497,27972,41611
5670.442396,28406,72,16,35,1,4,192.87572,28406,28406
4731.749346,69833,118,32,99,0,1,828.662719,24711,69833
8026.379641,0,74,15,91,0,2,532.8,62902,62902
4022.963529,0,117,6,1,0,1,975.107098,21586,21586
9618.310865,80536,119,5,83,0,3,53.798708,20290,80536
2274.775451,0,63,2,5,0,1,606.642452,46168,46168
9552.926922,97732,79,0,70,0,2,289.9122,60433,97732
10388.55323,61222,89,20,55,0,2,392.604371,29484,61222
2470.121222,0,74,7,20,0,1,721.242206,21234,21234
5619.068508,50335,140,9,54,0,1,456.52385,39722,50335
9047.119209,0,127,30,11,0,6,1087.995426,33397,33397
6692.143668,63221,168,28,49,0,1,806.4,36060,63221
3731.504584,0,96,31,34,0,1,460.8,13457,13457
3660.770258,64495,92,34,30,0,1,251.992083,62375,64495
7928.829252,0,72,7,75,0,2,345.6,29723,29723
5011.751577,28859,67,24,51,3,4,321.6,18768,28859
7988.258292,77330,99,0,21,0,3,99.257608,25075,77330
3885.456401,0,105,3,92,0,1,504.0,50250,50250
2659.337982,24495,70,29,65,0,1,336.0,24495,24495
8564.768226,95697,107,29,29,0,9,178.006524,95697,95697
4885.162511,26372,126,11,7,0,1,604.8,26372,26372
9753.307106,17514,127,2,5,0,3,8.312729,17514,17514
2946.153697,89270,74,17,90,0,1,316.599228,64987,89270
2581.110945,29757,65,13,55,0,1,312.0,25772,29757
3517.385764,51814,92,28,89,0,1,56.300724,51814,51814
9743.350113,24028,82,14,27,0,2,393.6,24028,24028
3873.647046,28142,105,18,50,0,1,701.708239,28142,28142
7649.28199,52705,64,14,8,1,2,128.705563,25141,52705
2287.59692,0,63,1,5,0,1,679.368378,21986,21986
4475.424592,84903,111,7,63,0,1,497.126827,33488,84903
8714.922135,0,118,14,64,0,4,566.4,13376,13376
2248.449633,24910,63,7,63,1,1,347.857619,24910,24910
7416.197322,0,77,15,12,2,2,554.4,28887,28887
7771.158973,21876,68,12,28,0,2,465.41477,21876,21876
6968.3419,0,69,33,61,1,2,496.8,12131,12131
4250.282624,0,61,17,1,1,7,292.8,31702,31702
19776.56654,70699,82,1,57,0,2,256.813837,58317,70699
21343.46599,0,74,11,85,1,2,355.2,10475,10475
2413.139714,27501,63,20,0,0,1,542.319401,27501,27501
15363.84716,15897,101,30,99,0,2,303.148399,15897,15897
8456.961887,25141,73,12,4,1,2,25.438063,25141,25141
2189.642522,0,61,5,46,3,1,292.8,20200,20200
5780.182197,51066,74,23,0,0,8,787.993313,51066,51066
4639.981638,28358,117,24,37,0,1,84.024413,28358,28358
4465.335703,61846,112,1,48,0,1,215.8182,61846,61846
5968.118877,90972,74,3,47,0,8,232.926145,62120,90972
5097.763337,0,74,3,95,0,7,532.8,32787,32787
4076.634665,29549,104,17,51,0,1,710.433775,28142,29549
12252.60179,0,115,12,17,1,2,552.0,51725,51725
16936.27147,39411,217,4,29,2,4,1122.658899,39411,39411
4892.435461,21709,62,28,17,0,3,408.374746,21576,21709
9942.304791,67890,85,23,57,0,2,408.0,67890,67890
3735.838129,0,110,3,16,0,1,792.0,23712,23712
13117.52215,84311,111,11,98,4,2,532.8,25030,84311
